Correios Cabo Verde,264,,
Correios de Angola,265,,
Correios de Moçambique,266,,
Correo El Salvador,267,,
Correo Paraguayo,268,,
Correo Uruguayo,269,,
Correos Bolivia,270,,
Correos Costa Rica,271,,
Correos de Cuba,272,,
Correos de Honduras,273,,
Correos Ecuador,274,,
Cpost International,275,,
Egypt Post,276,,
Enterprise des Poste Lao (APL),277,,
Ethiopian Post,278,,
Faroe Post,279,,
Fiji Post,280,,
Ghana Post,281,,
Gibraltar Post,282,,
Grenada Post,283,,
Guernsey Post,284,,
Guyana Post,285,,
Haiti Post,286,,
Iceland Post,287,,
Inposdom,288,,
Iran Post,289,,
Iraqi Post,290,,
Jamaica Post,291,,
Jersey Post,292,,
Jordan Post,293,,
JP BH Post,294,,
Kenya Post,295,,
Kosovo Post,296,,
Kuwait Post,297,,
Kyrgyz Post,298,,
La Poste De Benin,299,,
La Poste De Côte d'Ivoire,300,,
La Poste De Djibouti,301,,
La Poste De Mali,302,,
La Poste De Monaco,303,,
La Poste De Senegal,304,,
La Poste De Togo,305,,
Lesotho Post,306,,
Liban Post,307,,
Liberia Post,308,,
Libya Post,309,,
Liechtenstein Post,310,,
Luxembourg Post,311,,
Macao Post,312,,
Autolux,313,,
Gunsel,314,,
Macedonia Post,315,,
Malawi Post,316,,
Maldives Post,317,,
Mauritius Post,318,,
Mongolia Post,319,,
Myanma Post,321,,
Namibia Post,322,,
Nepal Post,323,,
New Caledonia Post,324,,
Niger Post,325,,
Nigerian Post,326,,
Oman Post,327,,
Panama Post,328,,
Posta Republike Srpske,329,,
Rwanda Post,330,,
Saint Helena Post,331,,
Samoa Post,332,,
San Marino Post,333,,
Saudi Post,334,,
Sonapost,335,,
South Africa Post,336,,
Sri Lanka Post,337,,
Swaziland Post,338,,
Syrian Post,339,,
Tajikistan Post,340,,
Tanzania Post,341,,
Tele Post (Greenland Post),342,,
Tonga Post,343,,
Turkmen Post,344,,
Vatican Post,345,,
Yemen Post,346,,
Zambia Post,347,,
13ten,348,,
17 Post Service,349,,
2GO Express,350,,
A2B Express Logistics,351,,
A2B HK,352,,
Able Express,353,,
ABX Express,354,,
Access Worldwide,355,,
aCommerce Asia,356,,
ACS Courier,357,,
ADSone,358,,
Aeroflot Air Waybill,359,,
Air Speed,360,,
Airpak,361,,
AJ Express,362,,
Aleksandr,363,,
AllJoy,364,,
APC Overnight,365,,
APC Postal Logistics,366,,
Apache Logistics,367,,
ArcBest (ex.ABF Freight),368,,
Asendia DE,369,,
Asendia HK,370,,
Asendia UK,371,,
Asendia Spain,372,,
Asia Africa Sky Express,373,,
BAB Kingtrans,374,,
BDT Post,375,,
BE Logistics,376,,
Best Express (百世快递),377,,
BIN Express,378,,
BJ Logistics,379,,
Black Arrow Express,380,,
Bluecare Express,381,,
Blue Dart,382,,
BoxC Logistics,383,,
Bpost Internetional,384,,
BRT Bartolini,385,,
Buy Logic,386,,
CanPar,387,,
CargoKing,388,,
CBL Logistics,389,,
CCL International Logistics,390,,
Chilexpress,391,,
Chronopost Portugal,393,,
Citilogistics,394,,
City-Link Express,395,,
CitySprint,396,,
CJ Logistics (CJ대한통운),397,,
Colis Prive,398,,
Collect+,399,,
Collectco,400,,
Comiron Express,401,,
Copa Airlines Courier,402,,
Courier IT,403,,
Courierplus,404,,
CourierPost,405,,
Couriers Please,406,,
CTM Express,407,,
Cuckoo Express,408,,
CZRS,409,,
DAI Post,410,,
DAO 365,411,,
Delcart,412,,
Delhivery,413,,
DEX-I,414,,
Diji Express,415,,
Direct Freight Express,416,,
Doora,417,,
DPEX China,418,,
DPX Logistics,419,,
DTDC Australia,420,,
e-Post Israel,421,,
EC Express,422,,
EC Post,423,,
Echo,424,,
ECMS Express,425,,
Ecom Express,426,,
Econt,427,,
EFS Asia,428,,
EFS Express,429,,
Ekart Logistics,430,,
EMA Logistics,431,,
Emexpress Shipping Services,432,,
Entrego,433,,
Geis,434,,
Envialia,435,,
eRetail Logistics,436,,
Eurodis,437,,
EWS Profit Fields,438,,
Exelot,439,,
Exposts,440,,
FAR - Hangzhou International Logistics,441,,
Fastway Couriers,442,,
FastWay Couriers (Ireland),443,,
FastWay Couriers (New Zealand),444,,
FastWay Couriers (South Africa),445,,
FedEx Poland,446,,
MailAmericas,448,,
Fercam,449,,
First Flight Couriers,450,,
Forintos,451,,
Four Seasons Fly,452,,
Freight Mark Express (FMX),453,,
Fulfillment,454,,
Futuris Logistic,455,,
GAASH Worldwide,456,,
Garant Post Service,457,,
Gati KWE,458,,
GD Express,459,,
Geniki Taxydromiki,460,,
Giao Hang Nhanh,461,,
Global Courier Express,462,,
Global Parcel Service,463,,
GLS Italy,464,,
GoJavas,465,,
GSI Express,466,,
GuangZhou HaiQi Logistics,467,,
Hermes Germany,468,,
Hermes World,469,,
Herona Express,470,,
HHG Cargo 1811,471,,
HJYT,472,,
Royal Shipments,473,,
WanbExpress,474,,
Wish Global,475,,
Buffalo,476,,
Deppon,477,,
HKRPost,478,,
Holisol Logistics,479,,
Huahan Logistics,480,,
Hunter Express,481,,
Ie Post,482,,
Iloxx,483,,
Q-Post,484,,
IMEX Global Solutions,485,,
IML Express (China),486,,
IMX,487,,
Intelcom Express,488,,
InterLogistica,489,,
International Bridge,490,,
J-express,491,,
J&T Express Indonesia,492,,
J&T Express Malaysia,493,,
Jayon Express,494,,
JET E-Commerce Logistics,495,,
JET Logistics KZ,496,,
JET Logistics,497,,
JSH,498,,
Ukraine EMS,499,,
SprintPack,500,,
DHL eCommerce Asia,501,,
Jet-Ship,502,,
JFG Express,503,,
Jiayou,504,,
Jocom,505,,
JY Express,506,,
Kerry Express,507,,
Kerry Express HK,508,,
Lazada Express Malaysia,509,,
LBC Express,510,,
LCM Express,511,,
Lion Parcel,512,,
LSO,513,,
LWE - Logistics WorldWide Express,514,,
M3,515,,
Mail Boxe Etc,516,,
Mainex,517,,
Matdespatch,518,,
Matkahuolto,519,,
MC Express,520,,
Mcchina Express,521,,
MC Express International,522,,
MC Express China,523,,
Aliexpress,524,,
Global Cainiao,525,,
DHL eCommerce US,526,,
EQT,527,,
Post11,528,,
DHL Parcel (NL),529,,
OPT-NC,530,,
Orange Connex,531,,
Keda Int'l,532,,
Thailand Trans Shipment,533,,
Naqel,534,,
EMS Azerbaijan (Azerexpresspost),535,,
IML,536,,
Meest Asia (UZ),537,,
Meest-America Inc,538,,
MetaPack,539,,
NationWide Express,540,,
Newgistics,541,,
Nexive,542,,
Nightline Group,543,,
Nim Express,544,,
Ninja Van,545,,
NUO,546,,
OCS Worldwide,547,,
Octopus Logistics,548,,
Omni Parcel,549,,
Paczka w Ruchu,550,,
Aprche,551,,
DPD Service,552,,
Miuson Service,553,,
PostNord Danmark Service,554,,
Lithuania Post Service,555,,
Saint Lucia Post,556,,
PakTrac eTotal,557,,
Palau Post,558,,
Parcel ABC,559,,
PayPal Package,560,,
Pgeon,561,,
PNG Post,562,,
Polonez Parcel Service,563,,
Pos Laju,564,,
Post Express (KZ),565,,
PPX Track,566,,
PSK Logistics,567,,
Purolator International,568,,
Q Xpress Asia,569,,
Q Express,570,,
QFL,571,,
Qixiang Logistics,572,,
QuickWay,573,,
RAM,574,,
ReBOUND - IntelligentReturns,575,,
Redpack Mexico,576,,
Pickpoint,577,,
Remax Courier Service,578,,
RF Shipping & Logistics,579,,
Rincos,580,,
RPX,581,,
Sagawa Global,582,,
Sai Cheng Logistics,583,,
Sameday Courier,584,,
SAP Express Courier,585,,
SCM Paqueteria,586,,
Shenzhen International Logistics Co.,587,,
Shippit,588,,
Signature Logistics,589,,
Signature Logistic,590,,
Simply Post Asia,591,,
Sky Postal,592,,
SkyNet Malaysia,593,,
Skynet Worldwide Express UK,594,,
SMSA Express,595,,
Specialised Freight,596,,
Spring Global Delivery Solutions,597,,
SRE Korea,598,,
Starken,599,,
Steed Logistics,600,,
Sürat,601,,
SVG Post,602,,
TA-Q-BIN Malaysia,603,,
TakeSend,604,,
TCK Express,605,,
The Courier Guy,606,,
The Postal Connect,607,,
Professional Courier,608,,
Tipsa,609,,
Tisak Paket,610,,
TMM Express,611,,
Toll IPEC,612,,
TopYou,613,,
Tourline Express,614,,
toYou by ASDA,615,,
Trackmail,616,,
TrackYourParcel,617,,
Tresguerras,618,,
TT Post,619,,
Tuvalu Post,620,,
Urgent Cargus,621,,
VicTas Freight Express,622,,
Virgin Atlantic Airwaybill,623,,
WeDo Express (fake),624,,
Whistl,625,,
Wise Express,626,,
Wiseloads,627,,
WSE,628,,
XDE Logistics - Ximex,629,,
Xend Express,630,,
Xingyuan,631,,
Xpost,632,,
XpressBees,633,,
XQ Express,634,,
Yakit,635,,
YDH,636,,
ZD Express,637,,
Zeleris,638,,
ZTO International,639,,
Alem-TAT,640,,
Doddle,641,,
Company Vestovoy,642,,
Mercury-Express,643,,
Wish Post (WishPost),644,,
Express-Auto,645,,
DPD Ireland,646,,
DPD France,647,,
DPD UK,648,,
DPD Hong Kong,649,,
DPD Romania,650,,
DPD Local,651,,
EMS Nigeria,652,,
Banderolka,653,,
Seller's Shipping Method,657,,
RAF,658,,
BONA,659,,
Caribou,660,,
Zinc,661,,
Fedex Cross Border,662,,
SYD,663,,
Nova Poshta,664,,
Chit Chats,665,,
Justin,666,,
Ipostel,667,,
Paquetexpress,668,,
Castores,669,,
Coordinadora,670,,
TCC,671,,
Envia,672,,
Andreani,673,,
Via Cargo,674,,
Zoomenvios,675,,
Tealca,676,,
Domesa,677,,
Ebay,678,,
Walmart,679,,
Etsy,680,,
Ikea,681,,
Nike,682,,
Adidas,683,,
H&M,684,,
Asos,685,,
Argos,686,,
Debenhams,687,,
Kmart,688,,
Woolworths,689,,
Officeworks,690,,
Allegro,691,,
Falabella,692,,
Ripley,693,,
Paris,694,,
Easy,695,,
Sodimac,696,,
Entel,697,,
Lider,698,,
Mercado Libre Argentina,699,,
Mercado pago,700,,
Americanas,701,,
Dafiti,702,,
Ibs,703,,
Orange,704,,
Cdiscount,705,,
Fnac,706,,
Zalando,707,,
CTT Express,708,,
Total Express,709,,
Sequoia,710,,
Loggi,711,,
Sedex,712,,
Mail Boxes Etc Italy (MBE),713,,
Jadlog,714,,
TransFolha,715,,
RTE Rodonaves,716,,
Plimor,717,,
Directlog,718,,
GOLLOG,719,,
Braspress,720,,
Azul Cargo Express,721,,
SSW,722,,
Jamef Encomendas Urgentes,723,,
NOWLOG,724,,
Patrus Transportes,725,,
Rede Sul,726,,
MSC,727,,
CMA CGM,728,,
Maersk,729,,
TCS,731,,
Safmarine,732,,
VRL Logistics,733,,
Trackon Couriers,734,,
Shree Maruti,735,,
Rivigo,736,,
Safexpress,737,,
TCI EXPRESS,738,,
Akash Ganga,739,,
Nitco Logistics,740,,
Shree Anjani Courier,741,,
ST Courier,742,,
V-Trans,743,,
Interasia,744,,
Gold Star Line,745,,
SkyKing,746,,
Ondot Courier,747,,
Franch Express,748,,
DotZot DTDC,749,,
Shadowfax,750,,
ICL Courier,751,,
Hapag Lloyd,752,,
APL,753,,
IAG Cargo,754,,
One Line (Ocean Network Express),755,,
Saia,756,,
ODFL (Old Dominion Freight Line),757,,
Estes Express,758,,
XPO Logistics,759,,
R&L Carriers,760,,
Reddaway,761,,
ZIM Line,762,,
Southwest Cargo (SWCargo),763,,
CEVA Logistics,764,,
Yang Ming,765,,
OSM Worldwide (One Stop Mailing),766,,
NSD,767,,
Matson,768,,
HMM,769,,
Endicia,770,,
Transdirect,771,,
XDP,772,,
DX Delivery,773,,
Tuffnells,774,,
Palletways,775,,
ArrowXL,776,,
Dachser,777,,
Hamburg Süd,778,,
GO! Express & Logistics,779,,
GEL Express,780,,
Pin Mail AG,781,,
Evergreen Marine,782,,
OOCL,783,,
Cosco Shipping,784,,
ODM Express,785,,
TinyPack,786,,
99minutos,787,,
Celeritas Transporte,788,,
NACEX,789,,
Arco Trasporti,790,,
Mondo Spedizioni,791,,
Unieuro,792,,
Paccofacile,793,,
GEODIS,794,,
France Express,795,,
GEFCO,796,,
Raben,797,,
Pekaes,798,,
Rohlig Suus,799,,
GTD,800,,
GlavDostavka,801,,
Gebrüder Weiss,802,,
Parcel Monkey,803,,
Flecha Amarilla,804,,
Aeroflash,805,,
Aras,806,,
Yurtiçi,807,,
MNG,808,,
hepsiJET,809,,
By Express Kargo,810,,
Turkish Cargo,811,,
Kargoist,812,,
Fast Express,813,,
Pegasus Cargo,814,,
KargoTurk,815,,
Süreç Kargo,816,,
Evropochta,818,,
J&T Express Thailand,819,,
ZTO Express,820,,
YTO Express,821,,
Yunda Express,822,,
STO Express,823,,
ZJS Express,824,,
TTK Express,825,,
Flash Express,826,,
Trendyol Express,827,,
Speed Post,828,,
Hrvatska Pošta,831,,
GLS Spain,833,,
Pilot Freight Services,834,,
AGT KURYE,835,,
TNT Italia,836,,
5Post,837,,
Packeta,838,,
Grab,840,,
GoGo Xpress,841,,
JRS-Express,842,,
Sailpost,843,,
CicekSepeti,844,,
DeFacto,845,,
Boyner,846,,
FLO,847,,
Teknosa,848,,
SCG EXPRESS,850,,
ALPHA FAST,851,,
Yusen Logistics,852,,
SHIPPOP,853,,
PorLor Express,854,,
Sendit,855,,
BEST Express,856,,
Lazada,857,,
Shopee,858,,
Shopee Express,859,,
Seino,860,,
Fukuyama Transporting,861,,
Nippon Express,862,,
Mercari,863,,
Rakuten,864,,
Hepsiburada,865,,
Trendyol,866,,
Horoz Lojistik,867,,
N11,868,,
Morhipo,869,,
GittiGidiyor,870,,
Koton,871,,
Relais Colis,872,,
ePost Korea,873,,
Aramex Australia,874,,
UPS Mail Innovations,875,,
Sagawa,876,,
Janio Asia,877,,
Carry Flap,878,,
Allied Express,879,,
eTotal Solution Limited,880,,
SEKO Logistics,881,,
TNT Australia,882,,
CJ Packet,883,,
Averitt Express,884,,
Paack,885,,
Loomis Express,886,,
Sending,887,,
Ziing Final Mile,888,,
FirstMile,889,,
Shree Tirupati Courier Services,890,,
HX Express,891,,
Budbee,892,,
AO Logistics,893,,
Easy Mail,894,,
Delnext,895,,
UPS Freight,896,,
Mainfreight,897,,
Spoton Logistics,898,,
Intel Valley Supply Chain,899,,
Midland Transport,900,,
Line Clear Express,901,,
Swiship UK,902,,
Swiship,903,,
VIWO,904,,
Aersure,905,,
GLS US,906,,
Viettel Post,907,,
360 Lion Express,908,,
Redur Spain,909,,
Сnwangtong,910,,
APG eCommerce Solutions,911,,
Spee Dee Delivery,912,,
Danske Fragtmænd,913,,
LexShip,914,,
Dicom,915,,
Pickupp,916,,
HCT Logistics,917,,
Zeek,918,,
ACS Worldwide Express,919,,
Airmee,920,,
Lalamove,921,,
Corporate Couriers Logistics,922,,
AIR21,923,,
Southeastern Freight Lines,924,,
Detrack,925,,
Quality Post,926,,
Urbanfox,927,,
United Delivery Service,928,,
ParcelPal,929,,
Cubyn,930,,
Roadbull Logistics,931,,
Trunkrs,932,,
AAA Cooper,933,,
Wahana,934,,
Tiki,935,,
Tiki,936,,
M Xpress,937,,
Panther Premium Logistics,938,,
Panther Logistics,939,,
Mainway,940,,
B2C Europe,941,,
Weaship,942,,
Helthjem,943,,
OCS ANA Group,944,,
Antron Express,945,,
KuaYue Express,946,,
ASIGNA,947,,
National Sameday,948,,
Neway Transport,949,,
New Zealand Couriers,950,,
ZOZOTOWN,951,,
Yahoo!,952,,
Packs,953,,
Fietskoeriers,954,,
MyParcel,955,,
Bershka,956,,
OTTO,957,,
Bol,958,,
Greyhound,959,,
VIR Transport,960,,
TAQBIN Hong Kong,961,,
PIL Logistics,962,,
Red je Pakketje,963,,
Fasttrack,964,,
TAQBIN Singapore,965,,
HermesWorld,966,,
Border Express,967,,
Haidaibao,968,,
Dayton Freight,969,,
ABCustom,970,,
GlobalTranz,971,,
Speed Couriers (Greece),972,,
Mypostonline,973,,
DD Express,974,,
Dawn Wing,975,,
PAL Express,976,,
Shopfans,977,,
B&H Worldwide,978,,
XL Express,979,,
WMG Delivery,980,,
Paperfly,981,,
M&X cargo,982,,
JX express,983,,
CH Robinson,984,,
Carriers,985,,
Elian Supply Chain,986,,
Lotte Global Logistics (롯데택배),987,,
Agility Logistics,988,,
PFC Express,989,,
2ebox,990,,
Innovel,991,,
Janco Ecommerce,992,,
Internet Express,993,,
Cope Sensitive Freight,994,,
Sendex,995,,
Kerry Logistics,996,,
Blue Star,997,,
PITT OHIO,998,,
Skynet Express South Africa,999,,
Liefery,1000,,
Wizmo (Shipwizmo),1001,,
SZENDEX,1002,,
Endeavour Delivery,1003,,
ELogistica,1004,,
Xpert Delivery,1005,,
CTC Express,1006,,
TransMission,1007,,
Eshipping,1008,,
Zajil,1009,,
GBA Services,1010,,
AlfaTrex,1011,,
Smooth Parcel,1012,,
Paper Express,1013,,
MDS Collivery,1014,,
Always Express,1015,,
Zepto Express,1016,,
KURASI,1017,,
ANSERX,1018,,
uShip,1019,,
Planzer Transport,1020,,
eFEx,1021,,
Sutton Transport,1022,,
Rocket Parcel International,1023,,
Champion Logistics,1024,,
RZY Express,1025,,
Aprisa Express,1026,,
CDEK Türkiye,1027,,
Kerry Express Vietnam,1028,,
i-dika,1029,,
Kerry TJ Logistics,1030,,
SKYBOX,1031,,
Forrun,1032,,
Pandu Logistics,1033,,
Mikropakket,1034,,
LHT Express,1035,,
Bluex,1036,,
TFM Xpress,1037,,
Aquiline,1038,,
Link Bridge (BeiJing),1039,,
Jam Express,1040,,
GEM Worldwide,1041,,
Global Business Taiwan,1042,,
Zyllem,1043,,
Transgroup,1044,,
RPD2man,1045,,
Bonds Transport Australia,1046,,
SMG Direct,1047,,
Jiayou International Logistics,1048,,
Dimerco Express,1049,,
MXE Express,1050,,
Lyve Logistics,1051,,
Frete Rápido,1052,,
Intelipost,1053,,
Bert Transport,1054,,
Fetchr,1055,,
Cloudwish Asia,1056,,
PFL,1057,,
Park N Parcel,1058,,
West Bank Courier,1059,,
C&A,1060,,
Petz,1061,,
K1 Express,1062,,
BirdSystem,1063,,
ParcelPoint,1064,,
Destiny Transportation,1065,,
Pan-Asia International,1066,,
Hipshipper,1067,,
Huodull,1068,,
Nhans Solutions,1069,,
Shippify,1070,,
ProMed Delivery,1071,,
Mail Boxes Mexico,1072,,
Courant Plus,1073,,
NTL logistics,1074,,
Designer Transport,1075,,
Ader,1076,,
